국가,국가(원어),광역,광역(원어),지구,지구(원어),마을/AOC,마을/AOC(원어),생산자,생산자(원어)
프랑스,France,보르도,Bordeaux,그라브,Graves,페삭 레오냥,Pessac-Leognan,샤토 라 미시옹 오브리옹,Chateau La Mission Haut-Brion
프랑스,France,보르도,Bordeaux,그라브,Graves,페삭 레오냥,Pessac-Leognan,샤토 라 투르 오브리옹,Chateau La Tour Haut-Brion
프랑스,France,보르도,Bordeaux,그라브,Graves,페삭 레오냥,Pessac-Leognan,샤토 레 카름 오브리옹,Chateau Les Carmes Haut-Brion
프랑스,France,보르도,Bordeaux,그라브,Graves,페삭 레오냥,Pessac-Leognan,샤토 파프 클레망,Chateau Pape Clement
프랑스,France,보르도,Bordeaux,그라브,Graves,페삭 레오냥,Pessac-Leognan,샤토 스미스 오 라피트,Chateau Smith Haut Lafitte
프랑스,France,보르도,Bordeaux,그라브,Graves,페삭 레오냥,Pessac-Leognan,샤토 드 피외잘,Chateau de Fieuzal
프랑스,France,보르도,Bordeaux,그라브,Graves,페삭 레오냥,Pessac-Leognan,도멘 드 슈발리에,Domaine de Chevalier
프랑스,France,보르도,Bordeaux,그라브,Graves,그라브,Graves,,
프랑스,France,보르도,Bordeaux,그라브,Graves,소테른,Sauternes,샤토 기로,Chateau Guiraud
프랑스,France,보르도,Bordeaux,그라브,Graves,소테른,Sauternes,샤토 리외섹,Chateau Rieussec
프랑스,France,보르도,Bordeaux,그라브,Graves,소테른,Sauternes,샤토 쉬뒤로,Chateau Suduiraut
프랑스,France,보르도,Bordeaux,그라브,Graves,소테른,Sauternes,샤토 디켐,Chateau d'Yquem
프랑스,France,보르도,Bordeaux,그라브,Graves,바르삭,Barsac,샤토 클리망,Chateau Climens
프랑스,France,보르도,Bordeaux,그라브,Graves,바르삭,Barsac,샤토 쿠테,Chateau Coutet
프랑스,France,보르도,Bordeaux,리부르네,Libournais,생테밀리옹,Saint-Emilion,샤토 앙젤뤼스,Chateau Angelus
프랑스,France,보르도,Bordeaux,리부르네,Libournais,생테밀리옹,Saint-Emilion,샤토 오존,Chateau Ausone
프랑스,France,보르도,Bordeaux,리부르네,Libournais,생테밀리옹,Saint-Emilion,샤토 발레스타르 라 토넬,Chateau Balestard-La-Tonnelle
프랑스,France,보르도,Bordeaux,리부르네,Libournais,생테밀리옹,Saint-Emilion,샤토 바르드 오,Chateau Barde-Haut
프랑스,France,보르도,Bordeaux,리부르네,Libournais,생테밀리옹,Saint-Emilion,샤토 보세주르 베코,Chateau Beau-Sejour Becot
프랑스,France,보르도,Bordeaux,리부르네,Libournais,생테밀리옹,Saint-Emilion,샤토 보세주르,Chateau Beausejour
프랑스,France,보르도,Bordeaux,리부르네,Libournais,생테밀리옹,Saint-Emilion,샤토 보세주르 뒤포,Chateau Beausejour-Duffau
프랑스,France,보르도,Bordeaux,리부르네,Libournais,생테밀리옹,Saint-Emilion,샤토 벨레르,Chateau Belair
프랑스,France,보르도,Bordeaux,리부르네,Libournais,생테밀리옹,Saint-Emilion,샤토 카데 피올라,Chateau Cadet-Piola
프랑스,France,보르도,Bordeaux,리부르네,Libournais,생테밀리옹,Saint-Emilion,샤토 카농,Chateau Canon
프랑스,France,보르도,Bordeaux,리부르네,Libournais,생테밀리옹,Saint-Emilion,샤토 카농 라 가플리에르,Chateau Canon-la-Gaffeliere
프랑스,France,보르도,Bordeaux,리부르네,Libournais,생테밀리옹,Saint-Emilion,샤토 슈발 블랑,Chateau Cheval Blanc
프랑스,France,보르도,Bordeaux,리부르네,Libournais,생테밀리옹,Saint-Emilion,샤토 크로크 미쇼트,Chateau Croque-Michotte
