alias_ko,name_en,type,note
클로 모가돌,Clos Mogador,producer,
클라우디베이,Cloudy Bay,producer,
코앙포,Col d'Orcia,producer,
콘차이토로,Concha y Toro,producer,
꼬노수르,Cono Sur,producer,
코노수르,Cono Sur,producer,
돔 페리뇽,Dom Perignon,producer,
돔페리뇽,Dom Perignon,producer,
도멘 앙투안 요바르,Domaine Antoine Jobard,producer,
도멘 본 두 마르트레이,Domaine Bonneau du Martray,producer,
꼬슈 뒤리,Domaine Coche-Dury,producer,
도멘 코슈 두리,Domaine Coche-Dury,producer,
도멘 드라가시,Domaine Dujac,producer,
도멘 폰텐 간타르,Domaine Fontaine-Gagnard,producer,
도멘 조르주 후미에,Domaine Georges Roumier,producer,
조르쥬 루미에,Domaine Georges Roumier,producer,
도멘 앙리 보요,Domaine Henri Boillot,producer,
도멘느 르플레브,Domaine Leflaive,producer,
도멘 르루아,Domaine Leroy,producer,
도멘 루시앙 느샤를로,Domaine Lucien Le Moine,producer,
샬로팽 파랑,Domaine Philippe Charlopin-Parizot,producer,
도멘 라몽네,Domaine Ramonet,producer,
도멘 앙글로 세르동,Domaine Renardat-Fache,producer,
도멘드슈발리에,Domaine de Chevalier,producer,
도멘 몽티유,Domaine de Montille,producer,
도멘 드 라 로마네 꽁띠,Domaine de la Romanee-Conti,producer,
로마네 꽁띠,Domaine de la Romanee-Conti,producer,
삥구스,Dominio de Pingus,producer,
닥터 누스,Dr. Loosen,producer,
이기갈,E. Guigal,producer,
에곤 뮬러,Egon Muller,producer,
파니엔테,Far Niente,producer,
폰따나프레다,Fontanafredda,producer,
폰타나 프레다,Fontanafredda,producer,
가이아,Gaja,producer,
가또 네그로,Gato Negro,producer,
지아코모 콘테르노,Giacomo Conterno,producer,
하를란 에스테이트,Harlan Estate,producer,
헨쉬키,Henschke,producer,
일 포기오네,Il Poggione,producer,
자크 세로스,Jacques Selosse,producer,
커클랜드,Kirkland Signature,producer,
크루그,Krug,producer,
크룩,Krug,producer,
라 마르까,La Marca,producer,
라 비에이유 페름,La Vieille Ferme,producer,
라비에유페름,La Vieille Ferme,producer,
레 마키오레,Le Macchiole,producer,
마치아티 델라 세라,Le Macchiole,producer,
레 포르 드 라뚜르,Les Forts de Latour,producer,
린데만,Lindeman's,producer,
도멘 루이 잘로,Louis Jadot,producer,
루이 로더레,Louis Roederer,producer,
루체 데니 그라치에,Luce della Vite,producer,
마르께스 데 까세레스,Marques de Caceres,producer,
마르띠니,Martini,producer,
푸시에르 아마로네,Masi,producer,
미셸 가시에 코스티에르 드 니름,Michel Gassier,producer,
미오네또,Mionetto,producer,
모에 샹동,Moet et Chandon,producer,
모엣 에 샹동,Moet et Chandon,producer,
몬떼스 알파,Montes Alpha,producer,
무똥 까데,Mouton Cadet,producer,
무통까데,Mouton Cadet,producer,
오퍼스원,Opus One,producer,
오푸스 원,Opus One,producer,
오르넬라야,Ornellaia,producer,
오이스터베이,Oyster Bay,producer,
파비용 루즈,Pavillon Rouge du Chateau Margaux,producer,
펜폴드,Penfolds,producer,
펜폴즈 그란지,Penfolds Grange,producer,
뻬트뤼스,Petrus,producer,
샤토 페트뤼스,Petrus,producer,
페트루스,Petrus,producer,
삐치니,Piccini,producer,
삐오 체사레,Pio Cesare,producer,
프루노또,Prunotto,producer,
몬다비,Robert Mondavi,producer,
로얄 토카이,Royal Tokaji,producer,
루버트 & 로스쉴드,Rupert & Rothschild,producer,
산 쥬스토 아 렌텐나노,San Giusto a Rentennano,producer,
산타 마르게리따,Santa Margherita,producer,
사시까이아,Sassicaia,producer,
요한니스베르크,Schloss Johannisberg,producer,
스크리밍이글,Screaming Eagle,producer,
산토스 브뤼 카바,Segura Viudas,producer,
스탁스 립 와인 셀라,Stag's Leap Cellars,producer,
떼땅져,Taittinger,producer,
테누타 오르넬라이아,Tenuta dell'Ornellaia,producer,
테라노라 타우라시,Terredora,producer,
띠냐넬로,Tignanello,producer,
부솔라 아마로네,Tommaso Bussola,producer,
위겔 앤 필스,Trimbach,producer,
발레벨브,Vallebelbo,producer,
베가 시씰리아,Vega Sicilia,producer,
뵈브 끌리꼬,Veuve Clicquot,producer,
울프블라스,Wolf Blass,producer,
옐로우테일,Yellow Tail,producer,
옐로테일,Yellow Tail,producer,
쪼닌,Zonin,producer,
아부르쪼,Abruzzo,region,
아부르초,Abruzzo,region,
아브루쪼,Abruzzo,region,
아브루쬬,Abruzzo,region,
아마로네,Amarone della Valpolicella,region,
아마로네 데라 발폴리첼라,Amarone della Valpolicella,region,
바로싸 밸리,Barossa Valley,region,
브루넬로,Brunello di Montalcino,region,
브루넬로 디 몰탈치노,Brunello di Montalcino,region,
버건디,Burgundy,region,
샴볼 뮈지니,Chambolle-Musigny,region,
샹볼 뮤지니,Chambolle-Musigny,region,
샤사뉴 몽라쉐,Chassagne-Montrachet,region,
샤샤뉴 몽라쉐,Chassagne-Montrachet,region,
샤또네프 뒤 파프,Chateauneuf-du-Pape,region,
샤토네프 뒤 파프,Chateauneuf-du-Pape,region,
끼안티,Chianti,region,
끌로 드 부조,Clos de Vougeot,region,
꽁드리유,Condrieu,region,
꼬뜨 드 본,Cote de Beaune,region,
꼬뜨 드 뉘,Cote de Nuits,region,
꼬뜨 로티,Cote-Rotie,region,
에쉐조,Echezeaux,region,
제브레 샹베르탱,Gevrey-Chambertin,region,
쥬브레,Gevrey-Chambertin,region,
쥬브레 샹베르땡,Gevrey-Chambertin,region,
즈브레 샹베르탱,Gevrey-Chambertin,region,
에르미따쥬,Hermitage,region,
말보루,Marlborough,region,
멘도싸,Mendoza,region,
뫼르쏘,Meursault,region,
다부루쪼,Montepulciano d'Abruzzo,region,
다부루초,Montepulciano d'Abruzzo,region,
다부르쪼,Montepulciano d'Abruzzo,region,
다부르쬬,Montepulciano d'Abruzzo,region,
다부르초,Montepulciano d'Abruzzo,region,
다부르쵸,Montepulciano d'Abruzzo,region,
다브루쪼,Montepulciano d'Abruzzo,region,
다브루쬬,Montepulciano d'Abruzzo,region,
다브루쵸,Montepulciano d'Abruzzo,region,
디아부르초,Montepulciano d'Abruzzo,region,
디아부르쵸,Montepulciano d'Abruzzo,region,
몬테풀차노 다부르쪼,Montepulciano d'Abruzzo,region,
몬테풀치아노 다부르쪼,Montepulciano d'Abruzzo,region,
몬테풀치아노 다부르초,Montepulciano d'Abruzzo,region,
몬테풀치아노 다브루쪼,Montepulciano d'Abruzzo,region,
몽라쉐,Montrachet,region,
모스카토 아스티,Moscato d'Asti,region,
무스카토 다스티,Moscato d'Asti,region,
무스카토 아스티,Moscato d'Asti,region,
나파밸리,Napa Valley,region,
뉘 생 조르쥬,Nuits-Saint-Georges,region,
뽀이약,Pauillac,region,
빼싹 레오냥,Pessac-Leognan,region,
뽀므롤,Pomerol,region,
퓔리니 몽라쉐,Puligny-Montrachet,region,
퓰리니 몽라셰,Puligny-Montrachet,region,
리아스 바이사스,Rias Baixas,region,
생떼밀리옹,Saint-Emilion,region,
쌩테밀리옹,Saint-Emilion,region,
쌩테스테프,Saint-Estephe,region,
생 쥘리앙,Saint-Julien,region,
소테른느,Sauternes,region,
쏘떼른,Sauternes,region,
스텔렌보쉬,Stellenbosch,region,
토카이 아쑤,Tokaji Aszu,region,
토카이아수,Tokaji Aszu,region,
트레비아노 다부르쪼,Trebbiano d'Abruzzo,region,
트레비아노 다부르초,Trebbiano d'Abruzzo,region,
투스카니,Tuscany,region,
비뉴 베르데,Vinho Verde,region,
본느 로마네,Vosne-Romanee,region,
