canonical_id,type,name_ko,name_ko_primary,is_alias,name_en,name_display,tier,key_ko,key_en,key_len,region_group,ko_source,wikidata
gra00148,grape,맘몰로,맘몰로,0,Mammolo,Mammolo,,마ᄆ모ᄅ로,mammolo,8,,manual,
gra00309,grape,머루,머루,0,Vitis coignetiae,Vitis coignetiae,,머루,vitis coignetiae,4,,wikidata,
gra00179,grape,머스캣 오브 알렉산드리아,머스캣 오브 알렉산드리아,0,Muscat of Alexandria,Muscat of Alexandria,,머스게소브ᅡᄅ레ᄀ사ᄂ드리ᅡ,muscat of alexandria,23,,manual,
gra00157,grape,메를로,메를로,0,Merlot,Merlot,,메르ᄅ로,merlot,7,,manual,
gra00157,grape,멀롯,메를로,1,Merlot,Merlot,,머ᄅ로ᄉ,merlot,6,,alias,
gra00157,grape,멜로,메를로,1,Merlot,Merlot,,메ᄅ로,merlot,5,,alias,
gra00157,grape,멜롯,메를로,1,Merlot,Merlot,,메ᄅ로ᄉ,merlot,6,,alias,
gra00157,grape,메를롯,메를로,1,Merlot,Merlot,,메르ᄅ로ᄉ,merlot,8,,alias,
gra00156,grape,메를리크,메를리크,0,Merlic,Merlic,,메르ᄅ리그,merlic,9,,wikidata,
gra00155,grape,멘시아,멘시아,0,Mencia,Mencia,,메ᄂ시ᅡ,mencia,6,,manual,
gra00165,grape,모니카,모니카,0,Monica,Monica,,모니가,monica,6,,manual,
gra00168,grape,모스카텔,모스카텔,0,Moscatel,Moscatel,,모스가데ᄅ,moscatel,9,,added,
gra00169,grape,모스카토,모스카토,0,Moscato,Moscato,,모스가도,moscato,8,,added,
gra00169,grape,머스캣,모스카토,1,Moscato,Moscato,,머스게ᄉ,moscato,7,,alias,
gra00169,grape,뮈스까,모스카토,1,Moscato,Moscato,,뮈스가,moscato,6,,alias,
gra00171,grape,모스카토 다스티,모스카토 다스티,0,Moscato d'Asti,Moscato d'Asti,,모스가도다스디,moscato dasti,14,,added,
gra00171,grape,모스카토 아스티,모스카토 다스티,1,Moscato d'Asti,Moscato d'Asti,,모스가도ᅡ스디,moscato dasti,13,,alias,
gra00171,grape,무스카토 다스티,모스카토 다스티,1,Moscato d'Asti,Moscato d'Asti,,무스가도다스디,moscato dasti,14,,alias,
gra00171,grape,무스카토 아스티,모스카토 다스티,1,Moscato d'Asti,Moscato d'Asti,,무스가도ᅡ스디,moscato dasti,13,,alias,
gra00170,grape,모스카토 비앙코,모스카토 비앙코,0,Moscato Bianco,Moscato Bianco,,모스가도비ᅡᆼ고,moscato bianco,14,,added,
gra00172,grape,모스코필레로,모스코필레로,0,Moschofilero,Moschofilero,,모스고비ᄅ레로,moschofilero,13,,manual,
gra00167,grape,몬테풀차노 다브루초,몬테풀차노 다브루초,0,Montepulciano d'Abruzzo,Montepulciano d'Abruzzo,,모ᄂ데부ᄅ자노다브루조,montepulciano dabruzzo,20,,added,
gra00167,grape,다부루쪼,몬테풀차노 다브루초,1,Montepulciano d'Abruzzo,Montepulciano d'Abruzzo,,다부루조,montepulciano dabruzzo,8,,alias,
gra00167,grape,다부루초,몬테풀차노 다브루초,1,Montepulciano d'Abruzzo,Montepulciano d'Abruzzo,,다부루조,montepulciano dabruzzo,8,,alias,
gra00167,grape,다부르쪼,몬테풀차노 다브루초,1,Montepulciano d'Abruzzo,Montepulciano d'Abruzzo,,다부르조,montepulciano dabruzzo,8,,alias,
gra00167,grape,다부르쬬,몬테풀차노 다브루초,1,Montepulciano d'Abruzzo,Montepulciano d'Abruzzo,,다부르조,montepulciano dabruzzo,8,,alias,
gra00167,grape,다부르초,몬테풀차노 다브루초,1,Montepulciano d'Abruzzo,Montepulciano d'Abruzzo,,다부르조,montepulciano dabruzzo,8,,alias,
gra00167,grape,다부르쵸,몬테풀차노 다브루초,1,Montepulciano d'Abruzzo,Montepulciano d'Abruzzo,,다부르조,montepulciano dabruzzo,8,,alias,
gra00167,grape,다브루쪼,몬테풀차노 다브루초,1,Montepulciano d'Abruzzo,Montepulciano d'Abruzzo,,다브루조,montepulciano dabruzzo,8,,alias,
gra00167,grape,다브루쬬,몬테풀차노 다브루초,1,Montepulciano d'Abruzzo,Montepulciano d'Abruzzo,,다브루조,montepulciano dabruzzo,8,,alias,
gra00167,grape,다브루쵸,몬테풀차노 다브루초,1,Montepulciano d'Abruzzo,Montepulciano d'Abruzzo,,다브루조,montepulciano dabruzzo,8,,alias,
gra00167,grape,디아부르초,몬테풀차노 다브루초,1,Montepulciano d'Abruzzo,Montepulciano d'Abruzzo,,디ᅡ부르조,montepulciano dabruzzo,9,,alias,
gra00167,grape,디아부르쵸,몬테풀차노 다브루초,1,Montepulciano d'Abruzzo,Montepulciano d'Abruzzo,,디ᅡ부르조,montepulciano dabruzzo,9,,alias,
gra00167,grape,몬테풀차노 다부르쪼,몬테풀차노 다브루초,1,Montepulciano d'Abruzzo,Montepulciano d'Abruzzo,,모ᄂ데부ᄅ자노다부르조,montepulciano dabruzzo,20,,alias,
gra00167,grape,몬테풀치아노 다부르쪼,몬테풀차노 다브루초,1,Montepulciano d'Abruzzo,Montepulciano d'Abruzzo,,모ᄂ데부ᄅ지ᅡ노다부르조,montepulciano dabruzzo,21,,alias,
gra00167,grape,몬테풀치아노 다부르초,몬테풀차노 다브루초,1,Montepulciano d'Abruzzo,Montepulciano d'Abruzzo,,모ᄂ데부ᄅ지ᅡ노다부르조,montepulciano dabruzzo,21,,alias,
gra00167,grape,몬테풀치아노 다브루쪼,몬테풀차노 다브루초,1,Montepulciano d'Abruzzo,Montepulciano d'Abruzzo,,모ᄂ데부ᄅ지ᅡ노다브루조,montepulciano dabruzzo,21,,alias,
gra00166,grape,몬테풀치아노,몬테풀치아노,0,Montepulciano,Montepulciano,,모ᄂ데부ᄅ지ᅡ노,montepulciano,13,,manual,
